0,-99.226916
0.000979167,-76.973838
0.0249792,-79.832143
0.0489792,-81.562914
0.0729792,-82.797671
0.0969792,-83.757992
0.120979,-84.543942
0.144979,-85.209218
0.168979,-85.785991
0.192979,-86.295067
0.216979,-86.750681
0.240979,-87.163004
0.264979,-87.539552
0.288979,-87.886041
0.312979,-88.206917
0.336979,-88.505708
0.360979,-88.785259
0.384979,-89.047898
0.408979,-89.295556
0.432979,-89.529850
0.456979,-89.752149
0.480979,-89.963620
0.504979,-90.134091
0.528979,-89.408333
0.552979,-87.941949
0.576979,-86.040967
0.600979,-84.058629
0.624979,-82.276880
0.648979,-80.499973
0.672979,-78.854217
0.696979,-77.424234
0.720979,-76.074266
0.744979,-74.833717
0.768979,-73.633572
0.792979,-72.436484
0.816979,-71.312112
0.840979,-70.260973
0.864979,-69.355330
0.888979,-68.490640
0.912979,-67.704262
0.936979,-67.023334
0.960979,-66.422563
0.984979,-65.859507
1.00898,-65.325755
1.03298,-64.835276
1.05698,-64.336808
1.08098,-63.823336
1.10498,-63.347290
1.12898,-62.915261
1.15298,-62.447563
1.17698,-61.884043
1.20098,-61.205962
1.22498,-60.517800
1.24898,-59.801800
1.27298,-59.113675
1.29698,-58.469926
1.32098,-57.870143
1.34498,-57.255472
1.36898,-56.742104
1.39298,-56.287267
1.41698,-55.775300
1.44098,-55.323794
1.46498,-54.860571
1.48898,-54.357562
1.51298,-53.958736
1.53698,-53.633598
1.56098,-53.324307
1.58498,-53.007046
1.60898,-52.708686
1.63298,-52.341268
1.65698,-51.988276
1.68098,-51.715242
1.70498,-51.396507
1.72898,-51.069948
1.75298,-50.735647
1.77698,-50.388464
1.80098,-50.101846
1.82498,-49.822117
1.84898,-49.523309
1.87298,-49.286579
1.89698,-48.999790
1.92098,-48.755009
1.94498,-48.491959
1.96898,-48.293163
1.99298,-48.075607
2.01698,-47.787233
2.04098,-47.458266
2.06498,-47.060285
2.08898,-46.599862
2.11298,-46.197501
2.13698,-45.650216
2.16098,-45.103626
2.18498,-44.582380
2.20898,-43.992508
2.23298,-43.583459
2.25698,-43.191410
2.28098,-42.781838
2.30498,-42.512547
2.32898,-42.195191
2.35298,-41.913347
2.37698,-41.520376
2.40098,-41.162498
2.42498,-40.911647
2.44898,-40.713097
2.47298,-40.548350
2.49698,-40.385194
2.52098,-40.279866
2.54498,-40.099738
2.56898,-39.852250
2.59298,-39.714641
2.61698,-39.551561
2.64098,-39.406655
2.66498,-39.221259
2.68898,-39.015031
2.71298,-38.878172
2.73698,-38.752382
2.76098,-38.709785
2.78498,-38.682027
2.80898,-38.645067
2.83298,-38.640197
2.85698,-38.632869
2.88098,-38.624672
2.90498,-38.620868
2.92898,-38.619664
2.95298,-38.610796
2.97698,-38.595575
3.00098,-38.595546
3.02498,-38.593833
3.04898,-38.584491
3.07298,-38.580617
3.09698,-38.572230
3.12098,-38.546926
3.14498,-38.529156
3.16898,-38.509921
3.19298,-38.497001
3.21698,-38.480035
3.24098,-38.457812
3.26498,-38.399069
3.28898,-38.361346
3.31298,-38.298905
3.33698,-38.243783
3.36098,-38.183772
3.38498,-38.096923
3.40898,-37.978919
3.43298,-37.906377
3.45698,-37.812730
3.48098,-37.744528
3.50498,-37.681806
3.52898,-37.616747
3.55298,-37.556004
3.57698,-37.509995
3.60098,-37.478520
3.62498,-37.454617
3.64898,-37.423038
3.67298,-37.387672
3.69698,-37.358362
3.72098,-37.314498
3.74498,-37.283399
3.76898,-37.243314
3.79298,-37.189933
3.81698,-37.139930
3.84098,-37.102600
3.86498,-37.064010
3.88898,-37.040676
3.91298,-37.018794
3.93698,-36.974729
3.96098,-36.938859
3.98498,-36.890847
4.00898,-36.842889
4.03298,-36.775130
4.05698,-36.732934
4.08098,-36.692344
4.10498,-36.644209
4.12898,-36.613640
4.15298,-36.572662
4.17698,-36.543728
4.20098,-36.512732
4.22498,-36.495032
4.24898,-36.489156
4.27298,-36.476288
4.29698,-36.466576
4.32098,-36.460223
4.34498,-36.451096
4.36898,-36.451069
4.39298,-36.445891
4.41698,-36.443820
4.44098,-36.444445
4.46498,-36.449302
4.48898,-36.453705
4.51298,-36.461716
4.53698,-36.468988
4.56098,-36.477162
4.58498,-36.481514
4.60898,-36.487106
4.63298,-36.489433
4.65698,-36.496925
4.68098,-36.509825
4.70498,-36.522381
4.72898,-36.534688
4.75298,-36.546444
4.77698,-36.559998
4.80098,-36.574457
4.82498,-36.589015
4.84898,-36.602958
4.87298,-36.616868
4.89698,-36.629909
4.92098,-36.638393
4.94498,-36.643920
4.96898,-36.653060
4.99298,-36.660800
5.01698,-36.667183
5.04098,-36.674490
5.06498,-36.680109
5.08898,-36.682468
5.11298,-36.682444
5.13698,-36.683166
5.16098,-36.684472
5.18498,-36.684202
5.20898,-36.686261
5.23298,-36.689907
5.25698,-36.687719
5.28098,-36.677776
5.30498,-36.663945
5.32898,-36.645715
5.35298,-36.621672
5.37698,-36.594843
5.40098,-36.575899
5.42498,-36.566810
5.44898,-36.567436
5.47298,-36.568744
5.49698,-36.564115
5.52098,-36.556373
5.54498,-36.547592
5.56898,-36.538036
5.59298,-36.524760
5.61698,-36.514393
5.64098,-36.504653
5.66498,-36.498506
5.68898,-36.493764
5.71298,-36.488077
5.73698,-36.470584
5.76098,-36.440215
5.78498,-36.404687
5.80898,-36.364054
5.83298,-36.310017
5.85698,-36.259913
5.88098,-36.211192
5.90498,-36.157296
5.92898,-36.120603
5.95298,-36.111289
5.97698,-36.107863
6.00098,-36.100387
6.02498,-36.077976
6.04898,-36.049458
6.07298,-36.009020
6.09698,-35.959407
6.12098,-35.910750
6.14498,-35.864871
6.16898,-35.817510
6.19298,-35.768928
6.21698,-35.734133
6.24098,-35.712843
6.26498,-35.704040
6.28898,-35.698714
6.31298,-35.694590
6.33698,-35.683510
6.36098,-35.666449
6.38498,-35.652271
6.40898,-35.635204
6.43298,-35.614625
6.45698,-35.605333
6.48098,-35.601174
6.50498,-35.601606
6.52898,-35.606430
6.55298,-35.617922
6.57698,-35.622311
6.60098,-35.613442
6.62498,-35.590988
6.64898,-35.564567
6.67298,-35.530706
6.69698,-35.476869
6.72098,-35.406990
6.74498,-35.331749
6.76898,-35.240922
6.79298,-35.131450
6.81698,-35.026791
6.84098,-34.928410
6.86498,-34.837881
6.88898,-34.751472
6.91298,-34.707093
6.93698,-34.669259
6.96098,-34.641383
6.98498,-34.618031
7.00898,-34.596539
7.03298,-34.576179
7.05698,-34.551359
7.08098,-34.518025
7.10498,-34.488568
7.12898,-34.462167
7.15298,-34.427226
7.17698,-34.391276
7.20098,-34.363083
7.22498,-34.328113
7.24898,-34.286829
7.27298,-34.243710
7.29698,-34.203032
7.32098,-34.171124
7.34498,-34.142969
7.36898,-34.121794
7.39298,-34.104323
7.41698,-34.084608
7.44098,-34.065367
7.46498,-34.052702
7.48898,-34.038895
7.51298,-34.025532
7.53698,-34.012194
7.56098,-33.997172
7.58498,-33.982391
7.60898,-33.969118
7.63298,-33.957632
7.65698,-33.948170
7.68098,-33.943947
7.70498,-33.944487
7.72898,-33.949006
7.75298,-33.953813
7.77698,-33.959504
7.80098,-33.963926
7.82498,-33.969520
7.84898,-33.975670
7.87298,-33.980803
7.89698,-33.985069
7.92098,-33.990226
7.94498,-33.995467
7.96898,-33.998610
7.99298,-33.999688
8.01698,-34.000546
8.04098,-34.004640
8.06498,-34.011678
8.08898,-34.020782
8.11298,-34.030638
8.13698,-34.039983
8.16098,-34.048686
8.18498,-34.057540
8.20898,-34.066578
8.23298,-34.076150
8.25698,-34.086558
8.28098,-34.097289
8.30498,-34.108259
8.32898,-34.119149
8.35298,-34.129978
8.37698,-34.140192
8.40098,-34.148168
8.42498,-34.154372
8.44898,-34.161274
8.47298,-34.169397
8.49698,-34.177985
8.52098,-34.188214
8.54498,-34.198988
8.56898,-34.209994
8.59298,-34.221013
8.61698,-34.232028
8.64098,-34.243142
8.66498,-34.253988
8.68898,-34.264891
8.71298,-34.275794
8.73698,-34.286636
8.76098,-34.297353
8.78498,-34.307427
8.80898,-34.317208
8.83298,-34.327214
8.85698,-34.336654
